Entity,latitude,longitude,1960Perc_Urban,1970Perc_Urban,1980Perc_Urban,1990Perc_Urban,2000Perc_Urban,2010Perc_Urban,2017Perc_Urban,,,,,,,,,,,,,,,,,,,,
France,46.23,2.21,61.88,71.06,73.28,74.06,75.87,78.37,80.18,,,,,,,,,,,,,,,,,,,,
French Polynesia,-17.68,-149.41,42.28,55.16,59.00,57.85,56.05,60.32,61.78,,,,,,,,,,,,,,,,,,,,
Gabon,-0.80,11.61,17.40,32.00,54.68,69.14,78.88,85.53,88.98,,,,,,,,,,,,,,,,,,,,
Gambia,13.44,-15.31,12.13,19.50,28.41,38.31,47.87,55.66,60.60,,,,,,,,,,,,,,,,,,,,
Georgia,42.32,43.36,43.07,48.01,52.50,55.04,52.64,55.53,58.23,,,,,,,,,,,,,,,,,,,,
Germany,51.17,10.45,71.38,72.27,72.84,73.12,74.97,76.97,77.26,,,,,,,,,,,,,,,,,,,,
Ghana,7.95,-1.02,23.25,28.96,31.16,36.44,43.93,50.71,55.41,,,,,,,,,,,,,,,,,,,,
Gibraltar,36.14,-5.35,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,
Greece,39.07,21.82,55.94,64.22,69.34,71.47,72.72,76.29,78.72,,,,,,,,,,,,,,,,,,,,
Greenland,71.71,-42.60,58.54,72.74,76.12,79.70,81.60,84.38,86.57,,,,,,,,,,,,,,,,,,,,
Grenada,12.26,-61.60,30.33,32.21,32.91,33.43,35.70,35.86,36.16,,,,,,,,,,,,,,,,,,,,
Guam,13.44,144.79,50.15,61.92,93.75,90.80,93.13,94.10,94.70,,,,,,,,,,,,,,,,,,,,
Guatemala,15.78,-90.23,31.12,35.55,38.72,41.99,45.33,48.40,50.68,,,,,,,,,,,,,,,,,,,,
Guinea,9.95,-9.70,10.47,15.98,23.62,28.03,30.87,33.68,35.79,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,11.80,-15.18,13.60,15.13,17.80,30.83,36.24,40.11,42.95,,,,,,,,,,,,,,,,,,,,
Guyana,4.86,-58.93,29.01,29.43,30.49,29.58,28.69,26.63,26.54,,,,,,,,,,,,,,,,,,,,
Haiti,18.97,-72.29,15.59,19.76,20.54,28.51,35.60,47.51,54.35,,,,,,,,,,,,,,,,,,,,
Honduras,15.20,-86.24,22.75,28.90,34.87,40.46,45.46,51.89,56.46,,,,,,,,,,,,,,,,,,,,
Hong Kong,22.40,114.11,85.20,87.73,91.48,99.52,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,
Hungary,47.16,19.50,55.91,60.11,64.19,65.84,64.58,68.91,71.06,,,,,,,,,,,,,,,,,,,,
Iceland,64.96,-19.02,80.30,84.90,88.26,90.75,92.40,93.57,93.77,,,,,,,,,,,,,,,,,,,,
India,20.59,78.96,17.92,19.76,23.10,25.55,27.67,30.93,33.60,,,,,,,,,,,,,,,,,,,,
Indonesia,-0.79,113.92,14.59,17.07,22.10,30.58,42.00,49.91,54.66,,,,,,,,,,,,,,,,,,,,
Iran,32.43,53.69,33.74,41.21,49.69,56.33,64.04,70.63,74.39,,,,,,,,,,,,,,,,,,,,
Iraq,33.22,43.68,42.90,56.15,65.52,69.71,68.50,69.10,70.28,,,,,,,,,,,,,,,,,,,,
Ireland,53.41,-8.24,45.18,51.28,55.33,56.93,59.16,61.54,62.95,,,,,,,,,,,,,,,,,,,,
Isle of Man,54.24,-4.55,55.12,55.83,51.78,51.75,51.82,51.99,52.46,,,,,,,,,,,,,,,,,,,,
Israel,31.05,34.85,76.85,84.19,88.58,90.36,91.20,91.83,92.34,,,,,,,,,,,,,,,,,,,,
Italy,41.87,12.57,59.36,64.27,66.64,66.73,67.22,68.33,70.14,,,,,,,,,,,,,,,,,,,,
